NCR,Metropolitan Manila,Kalookan City,,,high risk
NCR,Metropolitan Manila,Las Piñas,,,high risk
NCR,Metropolitan Manila,Makati City,,,high risk
NCR,Metropolitan Manila,Malabon,,,high risk
NCR,Metropolitan Manila,Mandaluyong,,,high risk
NCR,Metropolitan Manila,Manila,,,high risk
NCR,Metropolitan Manila,Marikina,,,high risk
NCR,Metropolitan Manila,Muntinlupa,,,high risk
NCR,Metropolitan Manila,Navotas,,,high risk
NCR,Metropolitan Manila,Parañaque,,,high risk
NCR,Metropolitan Manila,Pasay City,,,high risk
NCR,Metropolitan Manila,Pasig City,,,high risk
NCR,Metropolitan Manila,Pateros,,,high risk
NCR,Metropolitan Manila,Quezon City,,,high risk
NCR,Metropolitan Manila,San Juan,,,high risk
NCR,Metropolitan Manila,Taguig,,,high risk
NCR,Metropolitan Manila,Valenzuela,,,high risk